GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	O95395	GCNT3	enables	GO:0003829	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.102	9606	UniProt		20201205
UniProtKB	O95395	GCNT3	enables	GO:0106325	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.148	9606	UniProt		20201205
UniProtKB	O95395	GCNT3	enables	GO:0106326	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.148	9606	UniProt		20201205
UniProtKB	O95395	GCNT3	enables	GO:0047225	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.148	9606	UniProt		20201205
UniProtKB	O95395	GCNT3	enables	GO:0008109	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.150	9606	UniProt		20201205
UniProtKB	O95395	GCNT3	enables	GO:0003829	F	ECO:0000304	TAS	Reactome:R-HSA-914018		9606	Reactome		20101014
UniProtKB	O95395	GCNT3	enables	GO:0008109	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CH87|ensembl:ENSRNOP00000071784	9606	Ensembl		20201205
UniProtKB	O95395	GCNT3	enables	GO:0047225	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5JCT0|ensembl:ENSMUSP00000034751	9606	Ensembl		20201205
UniProtKB	O95461	LARGE1	enables	GO:0015020	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1342270|MGI:MGI:2443769|PANTHER:PTN000263094|UniProtKB:O95461	9606	GO_Central		20181024
UniProtKB	O95461	LARGE1	enables	GO:0042285	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1342270|MGI:MGI:2443769|PANTHER:PTN000263094|UniProtKB:O95461	9606	GO_Central		20181024
UniProtKB	O95461	LARGE1	enables	GO:0015020	F	ECO:0000314	IDA	PMID:25279699		9606	UniProt		20141117
UniProtKB	O95461	LARGE1	enables	GO:0015020	F	ECO:0000314	IDA	PMID:25279697		9606	UniProt		20141117
UniProtKB	O95461	LARGE1	enables	GO:0015020	F	ECO:0000314	IDA	PMID:22223806		9606	UniProt		20141117
UniProtKB	O95461	LARGE1	enables	GO:0042285	F	ECO:0000314	IDA	PMID:25279697		9606	UniProt		20141117
UniProtKB	O95461	LARGE1	enables	GO:0042285	F	ECO:0000314	IDA	PMID:22223806		9606	UniProt		20141117
UniProtKB	O95461	LARGE1	enables	GO:0008375	F	ECO:0000304	TAS	PMID:9892679		9606	PINC		20050308
UniProtKB	O95461	LARGE1	enables	GO:0035252	F	ECO:0000304	TAS	Reactome:R-HSA-5617138		9606	Reactome		20160722
UniProtKB	O95461	LARGE1	enables	GO:0015020	F	ECO:0000304	TAS	Reactome:R-HSA-5617143		9606	Reactome		20160722
UniProtKB	O96024	B3GALT4	enables	GO:0008375	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0000221|PANTHER:PTN000130250|UniProtKB:Q7Z7M8|UniProtKB:Q9BYG0|UniProtKB:Q9C0J1|UniProtKB:Q9NY97|UniProtKB:Q9Y2A9	9606	GO_Central		20170511
UniProtKB	O96024	B3GALT4	enables	GO:0008376	F	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000130250|WB:WBGene00000270	9606	GO_Central		20170511
UniProtKB	O96024	B3GALT4	enables	GO:0016758	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002659	9606	InterPro		20201205
UniProtKB	O96024	B3GALT4	enables	GO:0047915	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.62	9606	UniProt		20201205
UniProtKB	O96024	B3GALT4	enables	GO:0008499	F	ECO:0000314	IDA	PMID:9582303		9606	BHF-UCL		20170615
UniProtKB	P00491	PNP	enables	GO:0004731	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:97365|PANTHER:PTN000224756|RGD:1597189|SGD:S000004199|UniProtKB:P00491|UniProtKB:P45563|UniProtKB:P55859|UniProtKB:P9WP01	9606	GO_Central		20170228
UniProtKB	P00491	PNP	enables	GO:0004731	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011268|InterPro:IPR011270	9606	InterPro		20201205
UniProtKB	P00491	PNP	enables	GO:0016763	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR018099	9606	InterPro		20201205
